multi,hostsNum,vulNum,hostvulNum,serviceNum,conNum,all_ttime,all_ptime,real_time,ag_nnum,ag_enum,path_num,max_mem
5	15	8	34	88	39	0.17110503901494667	0.001842978992499411	0.30	76	117	43	23140
8	21	8	49	130	57	0.3658152049756609	0.0034047309891320765	0.49	112	174	64	28508
11	27	8	64	172	75	0.6319358519976959	0.005730747943744063	0.76	148	231	85	36400
14	33	8	79	214	93	0.9895123339956626	0.008751877991016954	1.13	184	288	106	45732
17	39	8	94	256	111	1.3967378729721531	0.012086441973224282	1.54	220	345	127	57184
20	45	8	109	298	129	1.9459892500308342	0.01671899697976187	2.09	256	402	148	71728
23	51	8	124	340	147	2.5209141789819114	0.0213677859865129	2.68	292	459	169	87164
26	57	8	139	382	165	3.1739027919829823	0.026480615022592247	3.34	328	516	190	104296
29	63	8	154	424	183	3.921314804989379	0.03272898698924109	4.09	364	573	211	123800
32	69	8	169	466	201	4.912083840987179	0.038674392038956285	5.10	400	630	232	144768
35	75	8	184	508	219	5.596223049971741	0.04543632396962494	5.79	436	687	253	167412
38	81	8	199	550	237	6.560600197000895	0.053018220991361886	6.76	472	744	274	192468
41	87	8	214	592	255	7.792056096019223	0.06146002403693274	8.00	508	801	295	224180
44	93	8	229	634	273	8.968644179985859	0.07379317004233599	9.20	544	858	316	253692
47	99	8	244	676	291	9.952382643998135	0.07949565694434568	10.19	580	915	337	284260
50	105	8	259	718	309	11.509518145001493	0.08950971998274326	11.77	616	972	358	317276
53	111	8	274	760	327	12.940279186994303	0.10228941799141467	13.21	652	1029	379	351908
56	117	8	289	802	345	14.243185397004709	0.1117750690318644	14.52	688	1086	400	388780
59	123	8	304	844	363	15.886362941004336	0.12423183600185439	16.18	724	1143	421	426908
62	129	8	319	886	381	17.465164775028825	0.13782316399738193	17.78	760	1200	442	468484
65	135	8	334	928	399	19.139777719043195	0.15058929700171575	19.47	796	1257	463	510000
68	141	8	349	970	417	21.019781871000305	0.16461072099627927	21.37	832	1314	484	553588
71	147	8	364	1012	435	22.494035547948442	0.17763021198334172	22.86	868	1371	505	600700
74	153	8	379	1054	453	24.799187436001375	0.1947792610153556	25.18	904	1428	526	648564
77	159	8	394	1096	471	26.204056984977797	0.20640893501695246	26.60	940	1485	547	697768
80	165	8	409	1138	489	28.67612335999729	0.22216143301920965	29.09	976	1542	568	750328
