multi,all_ttime,all_ptime,real_time,ag_nnum,ag_enum,path_num,plan_counter,max_mem
5	0.18317249999999993	0.6980000000000003	28.96	76	117	43	177	22908
8	0.5674099900000003	1.229	43.86	112	174	64	264	23104
11	1.6999066200000001	1.8800000000000003	59.98	148	231	85	351	23436
14	4.410620220000004	2.6579999999999946	78.01	184	288	106	438	23744
17	10.339020719999992	3.550999999999997	99.91	220	345	127	525	24128
20	21.74027167	4.57099999999999	127.14	256	402	148	612	41248
23	41.700145090000035	5.744999999999997	163.42	292	459	169	699	69016
26	76.21421585999987	7.063999999999982	215.05	328	516	190	786	99104
29	130.11053374	8.435000000000008	285.72	364	573	211	873	153976
32	216.25685736999986	9.952999999999998	389.51	400	630	232	960	277748
35	340.53568738999974	11.597999999999933	531.64	436	687	253	1047	325720
38	518.9233858099997	13.345000000000038	727.82	472	744	274	1134	445692
41	763.3412052800005	15.185999999999952	990.31	508	801	295	1221	637204
44	1126.4713411800008	17.212000000000007	1372.63	544	858	316	1308	839504
47	1599.6192987300012	19.296000000000006	1864.49	580	915	337	1395	1232380
50	2202.4354251099976	21.67300000000001	2489.57	616	972	358	1482	1492312
53	3004.4965007600017	23.940999999999974	3310.92	652	1029	379	1569	1894940
56	4132.635319950005	27.26699999999995	4531.03	688	1086	400	1656	2574972
59	5417.469969530005	30.009000000000203	5844.37	724	1143	421	1743	3145380
62	7036.407049899993	33.09100000000006	7498.07	760	1200	442	1830	3702084
65	9148.587744280003	35.9140000000001	9644.68	796	1257	463	1917	5539440
68	11722.409836239995	39.05599999999988	12255.20	832	1314	484	2004	6100288
71	14663.933685079995	42.24999999999984	15235.68	868	1371	505	2091	7027220
74	18328.831384539983	45.98999999999985	18944.26	904	1428	526	2178	8426884
77	22772.17662989997	49.79699999999984	23432.28	940	1485	547	2265	11714852
