multi,hostsNum,vulNum,hostvulNum,serviceNum,conNum,all_ttime,all_ptime,real_time,ag_nnum,ag_enum,path_num,max_mem
5	15	8	34	88	39	3.463618312991457	0.024463036010274664	3.61	57	79	24	129580
8	21	8	49	130	57	3.147631943997112	0.024267221000627615	3.29	58	75	19	145560
11	27	8	64	172	75	10.421555421999074	0.02409784498740919	10.56	76	99	25	506508
14	33	8	79	214	93	28.600788670999464	0.025147733991616406	28.74	94	123	31	1376512
17	39	8	94	256	111	68.09318773999985	0.024408320998190902	68.24	112	147	37	3205744
20	45	8	109	298	129	142.81157398399955	0.0246098919888027	142.95	130	171	43	6635748
23	51	8	124	340	147	252.89012034601183	0.03103174001444131	253.05	130	171	43	11176464
